0.0 + 0.0im,-0.5646501781598617 + 0.0im,-0.8253303437436651 + 0.0im,0.0 + 2.4244514075511128e-17im
0.001 + 0.0im,-0.5644848314698153 - 1.0053630771624345e-19im,-0.7785960657076657 - 1.1170577855065857e-20im,-0.0036100098703341077 - 2.0808494424103543e-17im
0.002 + 0.0im,-0.5625778355352938 - 1.4463688489098277e-18im,-0.6798956980664392 - 2.697076985863752e-19im,-0.01994977085273575 + 1.3605608072018052e-17im
0.003 + 0.0im,-0.5573611527700181 + 2.289530862651156e-18im,-0.5948519288647076 + 5.539572219765279e-19im,-0.038417670130736076 - 4.542581051653229e-18im
0.004 + 0.0im,-0.5497533956901995 + 1.3006577799335626e-18im,-0.5547649119382972 - 3.568559814983938e-19im,-0.04642403188128718 + 2.4128998523144353e-18im
0.005 + 0.0im,-0.541463437855144 - 4.5158215663857634e-18im,-0.5494495720258918 + 6.908846870980081e-19im,-0.048068408861755244 + 1.69835825308862e-17im
0.006 + 0.0im,-0.5325763162866399 - 6.168253258303575e-18im,-0.547220186183092 - 1.7073424072732663e-18im,-0.05468123815014714 + 1.7275482568507905e-17im
0.007 + 0.0im,-0.5218890072261304 + 6.123232888719734e-18im,-0.5327736424975512 - 2.1526263777935103e-19im,-0.06754903975149952 + 1.2991949814649511e-17im
0.008 + 0.0im,-0.509089632716366 + 8.165224646961998e-19im,-0.5169575470310169 + 4.549075176083347e-19im,-0.07704766837367008 + 6.29605995202545e-18im
0.009 + 0.0im,-0.4953593315592095 + 1.5657968938329166e-18im,-0.5144732035294578 + 3.385668674445318e-18im,-0.07853933974290994 + 1.7242315068998218e-17im
0.01 + 0.0im,-0.48152441054432377 - 3.907622410743508e-18im,-0.5232045224030245 + 1.5763114043239126e-18im,-0.08038575564848108 + 2.2350242126597487e-17im
