0.0 + 0.0im,1.0 + 0.0im
0.001 + 0.0im,0.9999999999839313 + 1.0053630771624345e-19im
0.002 + 0.0im,0.9999999999481615 + 1.4463688489098277e-18im
0.003 + 0.0im,0.9999999998726973 - 2.289530862651156e-18im
0.004 + 0.0im,0.9999999997949021 - 1.3006577799335626e-18im
0.005 + 0.0im,0.9999999997037692 + 4.5158215663857634e-18im
0.006 + 0.0im,0.9999999995211061 + 6.168253258303575e-18im
0.007 + 0.0im,0.999999999371772 - 6.123232888719734e-18im
0.008 + 0.0im,0.9999999992014201 - 8.165224646961998e-19im
0.009 + 0.0im,0.9999999990246856 - 1.5657968938329166e-18im
0.01 + 0.0im,0.9999999988034021 + 3.907622410743508e-18im
0.011 + 0.0im,0.9999999985353033 + 6.520456913122701e-19im
0.012 + 0.0im,0.9999999981729906 - 8.557271725715741e-18im
0.013 + 0.0im,0.9999999977736611 - 9.54587414830153e-18im
0.014 + 0.0im,0.9999999973057264 - 1.3739412873318119e-17im
0.015 + 0.0im,0.9999999968487518 + 1.0534867692456762e-17im
0.016 + 0.0im,0.9999999962734819 - 1.1465444143711138e-17im
0.017 + 0.0im,0.9999999956597128 + 1.794760623440737e-18im
0.018 + 0.0im,0.9999999948688632 - 1.0122399474866875e-17im
0.019 + 0.0im,0.9999999939910803 - 2.668039472240749e-18im
0.02 + 0.0im,0.9999999930167724 - 8.735709215848858e-18im
0.021 + 0.0im,0.9999999918403936 + 3.276734811924116e-18im
0.022 + 0.0im,0.9999999905139453 - 5.1966720824513605e-18im
0.023 + 0.0im,0.999999988971339 + 1.483754422319264e-18im
0.024 + 0.0im,0.9999999874067622 - 1.533906088746321e-17im
0.025 + 0.0im,0.99999998556041 + 7.885360425366293e-18im
0.026 + 0.0im,0.9999999835087416 + 9.316388254666262e-20im
0.027 + 0.0im,0.9999999814774432 - 6.3673977045454476e-18im
0.028 + 0.0im,0.9999999793474674 - 5.91604389237972e-18im
0.029 + 0.0im,0.9999999770024406 + 6.627563340839155e-18im
0.03 + 0.0im,0.9999999742901471 - 1.892530294152014e-18im
